date,FSS_S01_B1_003,FSS_S01_B1_004,FSS_S01_B2_005
2016/10/31,1.146488,7.359107,1.141896
2016/11/1,1.474056,8.491277,1.468153
2016/11/2,1.965409,8.77432,1.957537
2016/11/3,2.292977,8.77432,2.283793
2016/11/4,2.129193,8.491277,2.120665
2016/11/5,2.456761,8.491277,2.446922
2016/11/6,2.620545,8.491277,2.61005
2016/11/7,2.129193,7.925192,2.120665
2016/11/8,1.965409,8.491277,1.957537
2016/11/9,2.78433,9.623447,2.773178
2016/11/10,2.78433,9.90649,2.773178
2016/11/11,3.439466,10.472575,3.425691
2016/11/12,3.111898,9.90649,3.099434
2016/11/13,2.948114,9.623447,2.936306
2016/11/14,3.275682,9.057362,3.262562
2016/11/15,2.948114,9.623447,2.936306
2016/11/16,2.948114,9.057362,2.936306
2016/11/17,2.948114,9.057362,2.936306
2016/11/18,3.111898,9.057362,3.099434
2016/11/19,3.111898,9.340404,3.099434
2016/11/20,2.620546,8.491276,2.610049
2016/11/21,2.948114,9.623447,2.936306
2016/11/22,3.275683,10.472574,3.262562
2016/11/23,4.094603,12.736915,4.078203
2016/11/24,4.74974,14.43517,4.730715
2016/11/25,5.732445,15.567341,5.709484
2016/11/26,6.223797,15.850383,6.198869
2016/11/27,6.223797,15.567341,6.198869
2016/11/28,6.551366,15.850383,6.525125
2016/11/29,6.551366,16.133426,6.525125
2016/11/30,6.551366,15.567341,6.525125
2016/12/1,6.387581,15.567341,6.361997
2016/12/2,6.551366,15.284298,6.525125
2016/12/3,6.71515,15.284298,6.688253
2016/12/4,6.387581,15.001256,6.361997
2016/12/5,6.387581,15.001256,6.361997
2016/12/6,6.060013,14.718213,6.035741
2016/12/7,6.223797,14.718213,6.198869
2016/12/8,6.060013,14.43517,6.035741
2016/12/9,6.387581,15.001256,6.361997
2016/12/10,6.223797,15.284298,6.198869
2016/12/11,6.71515,15.284298,6.688253
2016/12/12,6.223797,14.718213,6.198869
2016/12/13,6.223797,15.001256,6.198869
2016/12/14,6.551366,16.133426,6.525125
2016/12/15,7.206502,16.699511,7.177638
2016/12/16,7.206502,17.265596,7.177638
2016/12/17,4.878165,17.265596,7.177638
2016/12/18,5.041949,16.982553,7.340766
2016/12/19,4.714381,16.699511,7.014509
2016/12/20,4.714381,16.416468,7.014509
2016/12/21,4.714381,16.416468,7.014509
2016/12/22,4.550597,16.416468,6.851381
2016/12/23,4.878165,16.982553,7.177638
2016/12/24,4.878165,17.265596,7.177638
2016/12/25,5.041949,16.982553,7.340766
2016/12/26,4.878165,17.265596,7.177638
2016/12/27,5.533302,18.680809,7.83015
2016/12/28,6.024654,19.246894,8.319535
2016/12/29,6.024654,20.096021,8.319535
2016/12/30,6.352223,20.379064,8.645791
2016/12/31,6.843575,20.379064,9.135175
2017/1/1,7.007359,20.662107,9.298304
2017/1/2,6.679791,19.246894,8.972047
2017/1/3,6.188439,18.963851,8.482663
2017/1/4,6.516007,18.963851,8.808919
2017/1/5,5.86087,18.397766,8.156407
2017/1/6,6.024654,18.963851,8.319535
2017/1/7,6.024654,18.963851,8.319535
2017/1/8,6.188439,19.246894,8.482663
2017/1/9,6.352223,19.529936,8.645791
2017/1/10,6.352223,20.096021,8.645791
2017/1/11,6.843575,20.945149,9.135175
2017/1/12,6.843575,20.662107,9.135175
2017/1/13,6.843575,20.662107,9.135175
2017/1/14,6.843575,20.945149,9.135175
2017/1/15,7.171143,21.228192,9.461432
2017/1/16,7.171143,21.511234,9.461432
2017/2/15,9.559507,21.511234,11.13813
2017/2/16,8.740586,19.529936,10.322489
2017/2/17,8.576802,19.529936,10.159361
2017/2/18,9.941047,21.129257,11.869192
2017/2/19,9.777263,20.280129,11.706064
2017/2/20,9.449694,19.997086,11.379807
2017/2/21,9.449694,20.846214,11.379807
2017/2/22,9.449694,21.129257,11.379807
2017/2/23,9.777263,21.978384,11.706064
2017/2/24,10.268615,22.544469,12.195448
2017/2/25,10.268615,22.261427,12.195448
2017/2/26,10.268615,21.978384,12.195448
2017/2/27,10.268615,21.412299,12.195448
2017/2/28,9.941047,20.563171,11.869192
2017/3/1,9.613479,20.280129,11.542935
2017/3/2,9.777263,20.280129,11.706064
2017/3/3,9.449694,20.280129,11.379807
2017/3/4,9.449694,19.431001,11.379807
2017/3/5,9.122126,18.864916,11.053551
2017/3/6,8.794558,18.864916,10.727295
2017/3/7,8.630774,18.015788,10.564167
2017/3/8,8.794558,18.581873,10.727295
2017/3/9,8.794558,18.298831,10.727295
2017/3/10,8.303205,17.449703,10.23791
2017/3/11,8.303205,16.883618,10.23791
2017/3/12,7.811853,16.317533,9.748526
2017/3/13,8.139421,17.449703,10.074782
2017/3/14,8.139421,17.166661,10.074782
2017/3/15,8.303205,17.732746,10.23791
2017/3/16,8.303205,17.449703,10.23791
2017/3/17,8.303205,17.449703,10.23791
2017/3/18,8.303205,17.449703,10.23791
2017/3/19,7.975637,16.883618,9.911653
2017/3/20,8.139421,17.449703,10.074781
2017/3/21,8.303205,17.449703,10.23791
2017/3/22,8.139421,17.449703,10.074781
2017/3/23,8.466989,17.732745,10.401038
2017/3/24,8.794557,19.147958,10.727294
2017/3/25,8.630773,18.864916,10.564166
2017/3/26,8.794557,18.298831,10.727294
2017/3/27,8.630773,17.732745,10.564166
2017/3/28,7.975637,16.883618,9.911653
2017/3/29,7.975637,16.317533,9.911653
2017/3/30,7.484284,16.03449,9.422269
2017/3/31,7.811853,16.03449,9.748525
2017/4/1,7.484284,16.317533,9.422269
2017/4/2,7.3205,15.185362,9.259141
2017/4/3,6.665363,14.053192,8.606628
2017/4/4,6.501579,13.204064,8.4435
2017/4/5,6.174011,12.921022,8.117244
2017/4/6,5.846443,12.921022,7.790987
2017/4/7,5.846443,12.354936,7.790987
2017/4/8,5.518874,11.222766,7.464731
2017/4/9,5.35509,12.071894,7.301603
2017/4/10,5.518874,12.637979,7.464731
2017/4/11,5.846443,13.204064,7.790987
2017/4/12,6.174011,13.487107,8.117244
2017/4/13,6.010227,12.637979,7.954115
2017/4/14,5.518874,11.505809,7.464731
2017/4/15,5.191306,10.090596,7.138475
2017/4/16,4.372385,7.826255,6.322834
2017/4/17,4.372385,7.826255,6.322834
2017/4/18,4.372385,6.694085,6.322834
2017/4/19,3.881033,5.844957,5.83345
2017/4/20,3.881033,6.128,5.83345
2017/4/21,3.38968,5.844957,5.344065
2017/4/22,3.553465,5.844957,5.507193
2017/4/23,3.38968,4.99583,5.344065
2017/4/24,3.225896,4.99583,5.180937
2017/4/25,2.406976,4.146702,4.365296
2017/4/26,2.57076,4.429744,4.528424
2017/4/27,2.57076,4.429744,4.528424
