date,FWP_S01_B3_002,FWP_S01_B5_003,FWP_S01_L1_001,FWP_S02_B3_002,FWP_S02_L2_004,FWP_S03_B5_003,FWP_S04_B5_003,FWP_S04_L2_004,FWP_S05_L1_001,FWP_S05_L2_004,FWP_S06_B5_003,FWP_S06_L1_001,FWP_S06_L2_004,FWP_S07_B3_002,FWP_S07_B5_003,FWP_S07_L1_001,FWP_S07_L2_004,FWP_S08_B5_003,FWP_S08_L1_001,FWP_S08_L2_004,FWP_S09_B3_002,FWP_S09_L1_001,FWP_S09_L2_004,FWP_S10_B5_003,FWP_S10_L1_001,FWP_S10_L2_004
2016-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-19,1.9445309999999987,-4.360919999999997,0.0004920000000012692,-3.216169999999998,2.305607000000002,0.7780630000000031,2.398789999999998,0.00011700000000303135,0.8023969999999991,1.6402080000000012,5.738612999999999,16.015113000000003,-3.390025999999999,-5.508363,6.053023999999998,-11.306210999999998,11.238121000000003,-12.999812999999996,-2.3618960000000015,3.3808380000000042,5.575251999999999,-4.636041000000034,-3.958705999999996,1.6087270000000018,8.540900000000008,0.832259999999998
2016-06-20,5.832596,-4.360605999999999,-2.2141220000000033,1.6087150000000037,3.0742520000000013,1.5558600000000027,1.5992760000000033,2.398754000000004,0.8024810000000002,1.6402830000000037,6.558245999999999,6.4065170000000045,-11.017748000000001,0.7870429999999999,4.539767999999998,-8.075717999999998,3.211243000000003,1.4449439999999996,2.3632919999999977,-20.284327999999995,12.74290000000001,0.7728129999999851,-13.459726,10.456638000000002,4.270431000000002,-10.821676999999998
2016-06-21,5.832817999999999,-2.1798709999999986,2.2157610000000005,1.6089249999999993,5.37985900000001,3.1113859999999995,3.1984190000000012,3.9978320000000025,2.407192000000002,1.6403330000000054,9.837812000000001,19.218293,-20.340376,-0.786923,7.566501999999999,1.6155679999999997,1.6066450000000039,0.00012100000000714317,6.300901999999997,-11.832306999999997,7.1686929999999975,-7.726699000000053,-12.667966,8.847969,5.694124000000002,-16.648798
2016-06-22,5.833149999999997,2.181676000000003,-4.4284079999999975,4.021508000000004,5.379918,5.444576000000001,4.797595999999999,7.195912,0.8026199999999974,3.280567000000005,15.576423999999998,8.808516999999998,0.8476689999999962,-0.78673,4.539989999999997,-3.2299149999999983,11.238599000000004,-10.110611999999996,1.5764129999999987,-15.213114999999995,-3.1841209999999993,-2.3178720000000226,-5.5421510000000005,6.434734000000001,19.929090000000002,-14.983751999999996
2016-06-23,7.777349,-2.179085999999998,0.0014750000000134378,4.825725000000006,6.917059000000005,5.444709,3.198502999999995,7.196028000000005,4.011986,3.2806420000000074,-2.459097,17.617096999999998,0.0004559999999997899,-6.2949969999999995,9.079831999999996,-4.844903999999996,2.4092850000000006,-1.4440149999999932,9.451493,6.761835000000005,4.779202999999999,4.636418999999989,-18.210192999999997,8.043692000000002,10.676572,12.486724000000002
2016-06-24,9.721879999999999,2.1821470000000005,8.861076000000004,2.413561999999999,7.685614000000005,5.444842000000001,4.797728999999997,7.196067000000006,4.012070000000001,4.100746000000001,10.657739999999999,4.804880000000001,-18.645111,1.574135,6.053467999999998,3.2314570000000025,9.633728999999999,-10.110489999999995,0.0014669999999981087,-5.0707339999999945,3.1863589999999995,11.590870999999993,1.5836830000000006,12.86993,11.388247,-7.491557999999998
2016-06-25,7.777459999999999,-2.1787719999999986,-4.428080000000001,2.4136319999999998,5.380096000000002,3.889316000000001,3.998115999999996,2.399141,4.012070000000001,4.9208500000000015,15.576670000000002,19.218608,4.238080000000004,-1.573364,3.7833989999999966,4.846639000000003,8.027902000000001,-1.4438940000000002,7.876268,-8.4516,2.3906089999999978,2.3184389999999553,-9.500904999999996,8.848258000000001,7.117891999999998,-4.994417999999996
2016-06-26,5.833149999999997,-2.1788510000000016,-6.643512999999999,0.001120000000000232,3.8430150000000047,3.111585999999999,0.7997629999999987,4.797624000000013,4.814383999999997,4.100771000000002,13.117574,4.805163999999994,-2.5423100000000005,6.295623,7.566279999999998,2.423448000000004,12.844289,2.889404000000006,3.151219000000001,0.00020300000000617047,1.5952309999999983,3.09111699999994,0.00021999999999877673,1.6090740000000014,1.4238830000000036,-8.324066999999996
2016-06-27,5.832927999999998,2.1821470000000005,-2.213957999999998,4.021578000000005,5.380007000000003,4.666846,1.599308999999998,3.198623000000005,5.616697000000002,7.381013000000003,7.378764000000002,10.410343000000001,-9.322170999999997,18.099296,11.349530999999999,2.4235120000000023,12.844425000000005,0.0005250000000032173,-1.5738290000000017,-5.0708499999999965,11.151100999999997,0.0002969999999322681,-7.125632999999997,3.2176560000000016,17.082218999999995,-3.3294270000000026
2016-06-28,3.888507999999999,0.0017270000000024766,-11.073641000000002,4.825654999999998,6.148444000000001,3.889049,1.5992589999999964,3.9981810000000024,4.814328000000003,5.740905000000005,4.099444,3.2034950000000038,5.933177000000001,-0.786658,12.863156999999998,-8.074946999999998,12.844425000000005,4.333904000000004,3.938727,-20.284225999999997,1.5946339999999992,7.727373,-0.7916459999999965,14.478368,7.1176829999999995,-2.4968349999999973
